Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-06-19,65.190002,65.580002,63.580002,63.919998,5476200,63.603039,-1.94815763313
2015-06-22,64.529999,65.720001,64.32,65.480003,3297400,65.155308,1.47218970203
2015-06-23,65.260002,65.699997,64.610001,65.089996,1850200,64.767235,-0.260505661646
2015-06-24,64.779999,64.82,63.77,63.790001,2397100,63.473686,-1.52824639593
2015-06-25,63.939999,64.230003,63.139999,63.349998,2792900,63.035866,-0.922741647212
2015-06-26,61.509998,62.66,61.459999,62.119999,6528700,61.811965,0.991710323255
2015-06-29,61.23,61.889999,59.919998,60.189999,4551700,59.891535,-1.69851543361
2015-06-30,60.509998,60.84,57.880001,58.220001,8310200,57.931306,-3.78449359724
2015-07-01,58.540001,58.720001,56.259998,56.41,7645400,56.13028,-3.63853939804
2015-07-02,56.5,57.700001,56.349998,56.360001,4855600,56.080529,-0.247785840708
2015-07-06,55.610001,56.209999,55.049999,55.48,4756200,55.204891,-0.233772698548
2015-07-07,55.360001,56.110001,53.869999,55.889999,4549700,55.612858,0.957366312186
2015-07-08,55.400002,55.599998,53.860001,54.150002,4112300,53.881488,-2.25631760808
2015-07-09,54.880001,55.0,53.700001,53.810001,2583900,53.543174,-1.94970841928
2015-07-10,54.400002,54.57,53.380001,53.529999,3243300,53.26456,-1.59927016179
2015-07-13,53.860001,54.09,53.18,53.650002,4208800,53.383968,-0.389897876162
2015-07-14,55.77,56.099998,55.0,55.450001,6077900,55.175041,-0.573783396091
2015-07-15,55.709999,55.720001,54.549999,54.959999,2993000,54.68747,-1.34625742858
2015-07-16,55.5,56.049999,55.16,56.02,3187700,55.742215,0.936936936937
2015-07-17,55.93,56.060001,55.0,55.389999,2781100,55.115338,-0.96549436796
2015-07-20,56.0,56.73,54.849998,55.48,3825900,55.204891,-0.928571428571
2015-07-21,55.34,56.209999,55.32,55.48,2755300,55.204891,0.252981568486
2015-07-22,54.959999,55.169998,53.759998,54.18,6987900,53.911339,-1.41921218012
2015-07-23,61.599998,64.760002,61.509998,63.700001,23513700,63.384132,3.40909588991
2015-07-24,63.990002,64.0,61.110001,61.84,5545400,61.533355,-3.35990300485
2015-07-27,61.200001,61.75,59.779999,61.16,4061900,60.856726,-0.0653611100431
2015-07-28,61.290001,61.669998,59.619999,61.080002,4159300,60.777125,-0.342631745103
2015-07-29,61.200001,61.950001,59.91,60.5,3207900,60.199999,-1.14379246497
2015-07-30,60.02,60.810001,59.860001,60.549999,2165100,60.549999,0.883037320893
2015-07-31,60.57,60.990002,59.759998,60.290001,3204600,60.290001,-0.462273402675
2015-08-03,60.189999,60.32,58.849998,59.459999,2323900,59.459999,-1.21282607099
2015-08-04,59.599998,59.880001,58.509998,59.299999,3278600,59.299999,-0.503354043737
2015-08-05,59.52,60.75,59.52,59.740002,1900000,59.740002,0.369627016129
2015-08-06,60.040001,60.040001,58.41,58.93,2830200,58.93,-1.84876912311
2015-08-07,58.759998,60.110001,58.66,59.41,1974300,59.41,1.10619813159
2015-08-10,59.669998,61.439999,59.650002,61.029999,2892000,61.029999,2.27920403148
2015-08-11,59.740002,60.450001,58.650002,59.099998,3003300,59.099998,-1.07131566551
2015-08-12,58.360001,59.48,57.360001,59.200001,2400800,59.200001,1.43934199042
2015-08-13,59.220001,59.459999,57.73,57.860001,2765300,57.860001,-2.29652140668
2015-08-14,57.939999,58.220001,57.299999,57.950001,2035500,57.950001,0.0172626858347
2015-08-17,57.57,58.349998,56.939999,58.200001,2037900,58.200001,1.09432169533
2015-08-18,56.759998,57.360001,56.139999,56.900002,5803200,56.900002,0.246659628142
2015-08-19,56.560001,56.779999,53.389999,53.810001,9543300,53.810001,-4.86209326623
2015-08-20,53.16,53.360001,50.040001,50.130001,8187700,50.130001,-5.69977238525
2015-08-21,49.400002,51.029999,48.950001,49.049999,5462000,49.049999,-0.708508068481
2015-08-24,46.740002,47.650002,44.279999,47.650002,6707500,47.650002,1.94694043873
2015-08-25,48.849998,49.779999,46.049999,46.110001,5657100,46.110001,-5.60900125318
2015-08-26,47.380001,49.700001,46.66,49.509998,5634400,49.509998,4.49556132344
2015-08-27,50.139999,52.939999,50.060001,52.849998,7294900,52.849998,5.40486448753
2015-08-28,52.200001,54.009998,51.84,52.27,3664500,52.27,0.134097698581
2015-08-31,51.950001,55.220001,51.34,54.560001,6637200,54.560001,5.02406150098
2015-09-01,52.700001,54.540001,52.59,52.810001,3487900,52.810001,0.208728648791
2015-09-02,53.849998,54.080002,52.849998,54.049999,2734500,54.049999,0.371403913515
2015-09-03,54.450001,55.720001,53.900002,54.119999,3286700,54.119999,-0.606064268025
2015-09-04,53.200001,53.970001,52.630001,52.84,2482500,52.84,-0.676693596303
2015-09-08,55.150002,55.959999,54.110001,55.849998,3759000,55.849998,1.26925834019
2015-09-09,56.240002,56.470001,54.389999,54.52,3747800,54.52,-3.0583249268
2015-09-10,54.23,55.18,53.830002,54.610001,2727900,54.610001,0.700721003135
2015-09-11,54.200001,54.970001,53.740002,54.959999,2409500,54.959999,1.40221030623
2015-09-14,55.119999,55.43,54.259998,55.330002,2180100,55.330002,0.380992387173
2015-09-15,55.700001,57.139999,55.139999,55.720001,2935400,55.720001,0.0359066420843
2015-09-16,54.48,55.990002,54.43,55.790001,2804600,55.790001,2.40455396476
2015-09-17,55.57,56.060001,54.41,54.669998,2661800,54.669998,-1.61958250855
2015-09-18,53.82,53.990002,52.279999,52.689999,7391100,52.689999,-2.09959308807
2015-09-21,52.700001,54.18,52.599998,52.900002,3292100,52.900002,0.379508531698
2015-09-22,51.869999,52.419998,51.549999,51.82,3366700,51.82,-0.0963929071986
2015-09-23,52.080002,52.150002,50.709999,50.990002,2268600,50.990002,-2.0929338674
2015-09-24,50.66,51.330002,49.66,51.009998,2097500,51.009998,0.690876431109
2015-09-25,51.560001,51.919998,50.259998,50.860001,2384900,50.860001,-1.35764155629
2015-09-28,50.18,50.330002,48.25,48.799999,4015800,48.799999,-2.75010163412
2015-09-29,48.849998,49.669998,48.25,49.09,3948300,49.09,0.491304011926
2015-09-30,51.27,54.470001,51.049999,54.330002,8057600,54.330002,5.96840647552
2015-10-01,55.48,55.970001,53.77,55.91,6224500,55.91,0.77505407354
2015-10-02,56.09,59.779999,55.810001,59.580002,7077100,59.580002,6.22214655019
2015-10-05,59.990002,61.310001,59.380001,59.470001,4822000,59.470001,-0.866812773235
2015-10-06,59.799999,61.630001,59.490002,61.240002,5973700,61.240002,2.40803181284
2015-10-07,61.299999,62.540001,59.720001,61.689999,4454600,61.689999,0.6362153448
2015-10-08,62.139999,64.440002,61.689999,64.110001,5622900,64.110001,3.1702639712
2015-10-09,63.939999,64.349998,61.77,62.360001,3852400,62.360001,-2.47106353568
2015-10-12,62.34,62.849998,61.099998,62.849998,2264700,62.849998,0.81809111325
2015-10-13,62.220001,62.810001,61.490002,61.77,4030600,61.77,-0.723241711295
2015-10-14,68.699997,70.5,67.330002,68.699997,15491300,68.699997,0.0
2015-10-15,68.43,70.959999,68.410004,69.879997,5531600,69.879997,2.11894929125
2015-10-16,69.93,70.260002,68.75,69.970001,3816900,69.970001,0.0572014872015
2015-10-19,70.93,75.18,70.669998,72.0,8576900,72.0,1.50852953616
2015-10-20,77.410004,77.889999,74.389999,75.190002,18850800,75.190002,-2.86784896691
2015-10-21,78.400002,78.5,76.540001,76.779999,30838500,76.779999,-2.06633030443
2015-10-22,76.900002,77.32,76.489998,77.089996,10060600,77.089996,0.24706631347
2015-10-23,77.010002,78.830002,77.010002,78.370003,6533200,78.370003,1.76600566768
2015-10-26,77.550003,78.629997,77.18,77.419998,5717800,77.419998,-0.167640225623
2015-10-27,77.160004,77.5,76.720001,76.900002,3159300,76.900002,-0.336964731106
2015-10-28,76.849998,77.839996,76.699997,77.669998,2233900,77.669998,1.06701369075
2015-10-29,77.150002,77.849998,77.099998,77.220001,2404500,77.220001,0.0907310410698
2015-10-30,77.150002,77.610001,76.919998,77.0,3114800,77.0,-0.194429029308
2015-11-02,76.82,77.080002,76.540001,76.779999,2998100,76.779999,-0.0520710752408
2015-11-03,76.410004,77.290001,76.330002,76.919998,2666100,76.919998,0.667444016886
2015-11-04,76.809998,77.139999,76.580002,77.059998,1357700,77.059998,0.325478461801
2015-11-05,76.93,77.230003,76.510002,76.75,2186200,76.75,-0.233978941895
2015-11-06,76.660004,77.300003,76.57,77.07,1909300,77.07,0.534823869824
2015-11-09,76.860001,77.099998,76.599998,76.910004,1505900,76.910004,0.0650572460961
2015-11-10,76.440002,76.900002,75.5,75.699997,2797100,75.699997,-0.968086055257
2015-11-11,75.230003,75.550003,73.349998,74.610001,3894600,74.610001,-0.824141931777
2015-11-12,74.550003,75.290001,74.300003,74.419998,2234700,74.419998,-0.17438631089
2015-11-13,74.309998,74.43,73.769997,73.900002,1418000,73.900002,-0.551737331496
2015-11-16,73.599998,74.620003,73.5,74.559998,1439200,74.559998,1.30434786153
2015-11-17,73.599998,75.150002,73.599998,74.839996,1535500,74.839996,1.68477993709
2015-11-18,74.82,75.389999,74.730003,75.360001,1632000,75.360001,0.721733493718
2015-11-19,75.190002,75.470001,74.879997,75.019997,1921200,75.019997,-0.226100539271
2015-11-20,75.32,75.43,74.800003,74.93,1899700,74.93,-0.517790759426
2015-11-23,74.870003,74.980003,74.169998,74.550003,1972500,74.550003,-0.427407489218
2015-11-24,74.07,74.699997,74.0,74.43,1213500,74.43,0.48602673147
2015-11-25,74.5,74.849998,74.150002,74.489998,1156000,74.489998,-0.0134255033557
2015-11-27,74.440002,74.709999,74.269997,74.580002,452000,74.580002,0.188070924555
2015-11-30,74.480003,74.660004,73.809998,73.870003,2894900,73.870003,-0.819011782263
2015-12-01,74.110001,75.989998,73.839996,75.879997,2845500,75.879997,2.38833622469
2015-12-02,75.32,75.849998,74.739998,75.199997,1641700,75.199997,-0.159324216676
2015-12-03,75.239998,75.989998,74.540001,74.900002,2104800,74.900002,-0.451881989683
2015-12-04,74.989998,75.830002,74.809998,75.269997,2385200,75.269997,0.373381794196
2015-12-07,75.059998,75.269997,74.419998,75.099998,1334100,75.099998,0.0532907021927
2015-12-08,74.519997,75.410004,74.440002,75.349998,1742200,75.349998,1.11379634114
2015-12-09,75.019997,76.010002,74.779999,75.139999,1867300,75.139999,0.159960017061
2015-12-10,75.160004,76.339996,74.900002,76.0,1618400,76.0,1.1176103716
2015-12-11,75.010002,75.279999,74.540001,74.809998,2593400,74.809998,-0.266636441364
2015-12-14,74.760002,75.440002,74.43,75.330002,1594000,75.330002,0.762439786987
2015-12-15,75.739998,76.230003,75.400002,75.669998,2359100,75.669998,-0.092421444215
2015-12-16,75.800003,76.129997,75.160004,75.599998,1174500,75.599998,-0.263858828607
2015-12-17,75.639999,76.050003,74.830002,74.830002,1941800,74.830002,-1.07085802579
2015-12-18,74.709999,75.379997,73.879997,73.889999,4606200,73.889999,-1.09757731358
2015-12-21,74.730003,74.82,73.900002,74.540001,1750300,74.540001,-0.25425129449
2015-12-22,74.769997,74.830002,74.209999,74.669998,1065700,74.669998,-0.133742147937
2015-12-23,74.860001,75.389999,74.330002,75.260002,1077900,75.260002,0.534332079424
2015-12-24,75.360001,75.480003,75.099998,75.279999,719500,75.279999,-0.106159765046
2015-12-28,75.099998,75.349998,74.620003,75.309998,869000,75.309998,0.279627171228
2015-12-29,75.449997,76.080002,75.370003,75.970001,1084500,75.970001,0.689203473394
2015-12-30,76.0,76.709999,75.870003,76.07,1098300,76.07,0.0921052631579
2015-12-31,76.0,76.57,75.769997,75.989998,848000,75.989998,-0.0131605263158
2016-01-04,75.300003,76.150002,75.110001,75.959999,2300900,75.959999,0.8764886769
2016-01-05,75.629997,76.510002,75.610001,76.089996,2141400,76.089996,0.608222951536
2016-01-06,75.339996,75.940002,75.25,75.57,1671300,75.57,0.305288043817
2016-01-07,74.699997,75.489998,74.459999,74.970001,2270200,74.970001,0.361451152401
2016-01-08,75.529999,75.599998,74.029999,74.199997,2924800,74.199997,-1.76089238397
2016-01-11,74.599998,75.260002,73.139999,74.010002,2562000,74.010002,-0.790879377772
2016-01-12,74.599998,74.860001,73.400002,74.790001,2856000,74.790001,0.254695717284
2016-01-13,74.699997,74.699997,71.199997,71.800003,5344500,71.800003,-3.88218757224
2016-01-14,71.900002,74.889999,71.339996,74.830002,4935500,74.830002,4.07510419819
2016-01-15,73.480003,73.860001,71.239998,71.480003,4616100,71.480003,-2.72182895801
2016-01-19,72.199997,72.480003,70.089996,71.059998,2981100,71.059998,-1.57894604899
2016-01-20,70.32,70.540001,68.209999,68.669998,5662100,68.669998,-2.34641922639
2016-01-21,69.0,69.480003,65.580002,66.230003,6303900,66.230003,-4.0144884058
2016-01-22,67.160004,68.080002,66.139999,67.419998,2954700,67.419998,0.387126242577
2016-01-25,66.989998,67.080002,59.360001,61.740002,9780400,61.740002,-7.83698485855
2016-01-26,61.68,65.339996,60.970001,64.089996,6291800,64.089996,3.90725680934
2016-01-27,64.459999,66.449997,63.919998,64.209999,4410000,64.209999,-0.387837424571
2016-01-28,65.559998,67.559998,64.309998,67.25,4310400,67.25,2.57779446546
2016-01-29,68.0,71.339996,68.0,70.699997,4690600,70.699997,3.97058382353
2016-02-01,69.849998,72.050003,69.830002,70.650002,2565700,70.650002,1.14531714088
2016-02-02,70.0,70.669998,69.269997,70.25,2058300,70.25,0.357142857143
2016-02-03,70.620003,70.940002,69.260002,69.809998,2466400,69.809998,-1.14699088869
2016-02-04,69.599998,71.510002,69.480003,69.860001,2651000,69.860001,0.37356753947
2016-02-05,69.800003,69.849998,68.379997,69.0,2303400,69.0,-1.14613605389
2016-02-08,68.419998,68.699997,66.800003,67.849998,3447900,67.849998,-0.833089764194
2016-02-09,67.019997,67.800003,66.0,66.540001,2298300,66.540001,-0.716198181865
2016-02-10,66.980003,68.300003,66.43,67.230003,1702700,67.230003,0.373245728281
2016-02-11,66.870003,67.370003,65.949997,67.290001,2367800,67.290001,0.628081323699
2016-02-12,67.959999,68.480003,66.669998,67.489998,1812900,67.489998,-0.691584765915
2016-02-16,67.540001,68.25,67.279999,68.169998,1866900,68.169998,0.932776118851
2016-02-17,68.239998,68.849998,68.019997,68.459999,1740800,68.459999,0.322393034068
2016-02-18,68.720001,69.980003,68.519997,69.459999,1413900,69.459999,1.07683060133
2016-02-19,69.279999,69.449997,68.300003,68.849998,1386600,68.849998,-0.620671198335
2016-02-22,68.839996,69.610001,66.0,67.68,4526200,67.68,-1.68506110895
2016-02-23,66.93,67.489998,65.870003,66.610001,10153500,66.610001,-0.478109965636
2016-02-24,65.660004,70.239998,65.379997,69.900002,7151600,69.900002,6.4575049371
2016-02-25,69.279999,71.940002,69.0,71.480003,5455500,71.480003,3.17552544999
2016-02-26,71.639999,72.529999,71.370003,72.080002,5254200,72.080002,0.614186217395
2016-02-29,72.339996,74.0,72.230003,72.260002,10252600,72.260002,-0.110580597765
2016-03-01,72.529999,74.160004,72.459999,74.080002,5312700,74.080002,2.13705090496
2016-03-02,73.209999,75.169998,73.18,74.980003,6585300,74.980003,2.41770799642
2016-03-03,74.379997,75.82,74.379997,75.720001,2565100,75.720001,1.80156500947
2016-03-04,75.5,76.230003,75.389999,75.839996,3644900,75.839996,0.450325827815
2016-03-07,75.510002,76.849998,75.510002,76.68,5880100,76.68,1.5494609575
2016-03-08,76.400002,76.849998,76.0,76.0,5160500,76.0,-0.523562813519
2016-03-09,75.959999,76.660004,75.639999,76.629997,4550400,76.629997,0.882040559269
2016-03-10,76.510002,76.75,75.940002,76.410004,3763400,76.410004,-0.130699251583
2016-03-11,76.650002,76.849998,76.349998,76.699997,4494700,76.699997,0.0652250472218
2016-03-14,75.989998,76.709999,75.989998,76.269997,4705900,76.269997,0.3684682292
2016-03-15,76.120003,76.470001,75.669998,75.739998,12463800,75.739998,-0.499218319789
2016-03-16,75.629997,76.25,75.629997,76.220001,2918800,76.220001,0.780119031341
2016-03-17,76.029999,76.400002,75.93,75.980003,2800300,75.980003,-0.065758254186
2016-03-18,76.199997,76.790001,75.879997,76.57,4735600,76.57,0.485568260587
2016-03-21,76.5,76.900002,76.440002,76.800003,2976000,76.800003,0.392160784314
2016-03-22,76.540001,77.339996,76.440002,77.120003,3178400,77.120003,0.757776316204
2016-03-23,76.970001,77.230003,76.199997,76.410004,2473600,76.410004,-0.727552283649
2016-03-24,76.129997,76.440002,74.68,75.660004,6619600,75.660004,-0.617355863025
2016-03-28,75.699997,76.080002,75.389999,75.68,3014600,75.68,-0.0264161172952
2016-03-29,75.809998,76.169998,75.370003,76.019997,2266600,76.019997,0.27700699847
2016-03-30,76.389999,76.389999,75.370003,75.949997,3973600,75.949997,-0.575994247624
2016-03-31,76.0,76.279999,75.739998,76.080002,2026900,76.080002,0.105265789474
2016-04-01,75.959999,76.25,75.790001,76.199997,1709400,76.199997,0.315953137387
2016-04-04,76.330002,76.400002,76.040001,76.25,1143900,76.25,-0.104810687677
2016-04-05,76.019997,76.139999,75.209999,75.449997,2450200,75.449997,-0.749802713094
2016-04-06,75.449997,75.889999,74.989998,75.870003,1286000,75.870003,0.556668014182
2016-04-07,75.519997,76.580002,75.5,76.32,5230200,76.32,1.05932604844
2016-04-08,76.75,76.800003,76.150002,76.519997,2407200,76.519997,-0.299678175896
2016-04-11,76.639999,77.209999,76.610001,76.790001,1843800,76.790001,0.195722862679
2016-04-12,76.669998,76.989998,76.360001,76.68,2069100,76.68,0.0130455201003
2016-04-13,76.769997,76.93,76.690002,76.75,2227500,76.75,-0.0260479364093
2016-04-14,76.57,76.57,75.620003,75.889999,2852800,75.889999,-0.888077576074
2016-04-15,75.980003,76.040001,75.519997,75.760002,3294100,75.760002,-0.289551186251
2016-04-18,75.629997,76.160004,75.610001,76.019997,2101000,76.019997,0.515668406016
2016-04-19,76.150002,76.239998,75.709999,75.809998,3695500,75.809998,-0.446492437387
2016-04-20,75.919998,76.330002,75.589996,75.589996,4803200,75.589996,-0.434670717457
2016-04-21,75.68,75.830002,74.790001,74.879997,5092600,74.879997,-1.05708641649
2016-04-22,74.870003,75.760002,74.860001,75.489998,3204100,75.489998,0.828095332119
2016-04-25,75.470001,75.699997,75.150002,75.669998,2001700,75.669998,0.265001984033
2016-04-26,75.599998,76.07,75.599998,75.790001,2291500,75.790001,0.251326726226
2016-04-27,75.57,75.989998,75.309998,75.870003,2209800,75.870003,0.396986899563
2016-04-28,76.110001,76.809998,75.959999,76.5,2830700,76.5,0.512414919033
2016-04-29,76.230003,76.230003,74.690002,75.129997,2829300,75.129997,-1.44300925713
2016-05-02,75.07,75.610001,74.830002,75.5,3105800,75.5,0.572798721194
2016-05-03,75.050003,75.449997,75.010002,75.32,2600000,75.32,0.359756148178
2016-05-04,75.139999,75.410004,74.830002,74.970001,2433700,74.970001,-0.226241685204
2016-05-05,75.07,75.220001,74.550003,74.690002,2515300,74.690002,-0.506191554549
2016-05-06,74.519997,75.68,74.360001,75.419998,4458800,75.419998,1.20773085914
2016-05-09,75.440002,75.550003,75.239998,75.510002,2209100,75.510002,0.092788968908
2016-05-10,76.199997,76.650002,76.07,76.57,20168600,76.57,0.485568260587
