Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-09-01,75.419998,75.82,74.150002,74.639999,1504700,73.230751,-1.03420713429
2015-09-02,75.18,75.699997,74.440002,75.339996,768200,73.917532,0.212817238627
2015-09-03,75.410004,76.580002,75.309998,75.75,898800,74.319794,0.450863256817
2015-09-04,74.57,75.029999,73.68,73.959999,794200,72.56359,-0.818024674802
2015-09-08,75.779999,77.239998,74.419998,76.980003,2097700,75.526574,1.58353657408
2015-09-09,77.419998,77.639999,75.360001,75.529999,1213400,74.588414,-2.44122842783
2015-09-10,75.43,75.870003,74.830002,75.07,726800,74.134149,-0.477263688188
2015-09-11,74.339996,74.809998,73.5,74.089996,794600,73.166363,-0.336292727269
2015-09-14,74.029999,74.480003,73.529999,73.900002,652300,72.978737,-0.175600434629
2015-09-15,70.25,74.419998,70.25,73.93,696900,73.008361,5.2384341637
2015-09-16,73.870003,74.660004,73.650002,74.540001,675700,73.610758,0.90699603735
2015-09-17,74.580002,75.550003,74.199997,74.650002,1131900,73.719387,0.0938589408995
2015-09-18,73.639999,74.370003,72.959999,73.169998,1174100,72.257834,-0.638241453534
2015-09-21,73.440002,74.239998,73.209999,73.489998,808600,72.573844,0.068077340194
2015-09-22,72.559998,72.900002,72.080002,72.279999,838300,71.378929,-0.385886173812
2015-09-23,72.480003,72.620003,71.910004,72.449997,701300,71.546808,-0.041399004909
2015-09-24,71.839996,72.279999,71.199997,71.550003,953400,70.658034,-0.403665111563
2015-09-25,72.239998,73.150002,72.059998,72.220001,1633100,71.31968,-0.0276813407442
2015-09-28,71.660004,72.099998,70.199997,70.279999,667300,69.403862,-1.92576740576
2015-09-29,70.25,71.220001,70.099998,71.07,1193900,70.184015,1.16725978648
2015-09-30,71.989998,73.260002,71.660004,73.150002,1030200,72.238086,1.61134050872
2015-10-01,72.989998,73.620003,72.68,73.239998,1300200,72.326961,0.342512682354
2015-10-02,72.269997,74.029999,71.889999,73.959999,929500,73.037986,2.33845588786
2015-10-05,74.540001,75.440002,74.260002,74.739998,882700,73.808261,0.268308287251
2015-10-06,74.5,74.919998,74.010002,74.440002,807600,73.512006,-0.0805342281879
2015-10-07,75.080002,75.150002,73.720001,74.730003,992900,73.798391,-0.466168074956
2015-10-08,74.43,75.660004,74.349998,75.5,478100,74.558789,1.43759236867
2015-10-09,75.529999,75.800003,75.080002,75.730003,557500,74.785925,0.264800744933
2015-10-12,76.489998,77.889999,76.32,77.0,1366600,76.040089,0.666756456184
2015-10-13,76.370003,76.82,75.5,75.57,1075000,74.627916,-1.0475356404
2015-10-14,75.540001,76.5,75.349998,76.029999,720700,75.082181,0.64866030383
2015-10-15,76.529999,76.610001,75.269997,76.440002,655100,75.487073,-0.117597022313
2015-10-16,76.540001,76.790001,75.889999,76.580002,659400,75.625327,0.0522615618989
2015-10-19,76.139999,76.57,75.169998,75.330002,830300,74.39091,-1.0638258611
2015-10-20,75.230003,76.529999,75.010002,76.300003,775000,75.348819,1.42230487483
2015-10-21,76.790001,76.790001,74.879997,74.970001,527300,74.035397,-2.37010024261
2015-10-22,75.709999,76.510002,75.57,76.0,719200,75.052556,0.383041875354
2015-10-23,77.040001,77.040001,75.629997,76.489998,595600,75.536445,-0.713918734243
2015-10-26,76.610001,76.980003,75.389999,75.5,593000,74.558789,-1.44889829723
2015-10-27,75.0,75.339996,74.370003,74.910004,734800,73.976148,-0.119994666667
2015-10-28,75.379997,78.730003,75.0,78.669998,1121400,77.689269,4.36455443213
2015-10-29,78.239998,79.809998,77.879997,79.370003,1024100,78.380547,1.44428045614
2015-10-30,79.559998,80.099998,79.089996,79.129997,1195200,78.143533,-0.540473869796
2015-11-02,79.300003,80.0,78.690002,79.709999,889700,78.716305,0.517018895951
2015-11-03,78.389999,82.230003,77.0,81.0,1849300,79.990224,3.32950763273
2015-11-04,81.529999,82.089996,79.580002,79.809998,1116500,78.815057,-2.10965414093
2015-11-05,79.779999,80.220001,78.93,79.489998,1042800,78.499046,-0.363500881969
2015-11-06,79.449997,79.610001,79.019997,79.580002,703400,78.587928,0.163631220779
2015-11-09,78.800003,79.949997,78.800003,79.489998,945900,78.499046,0.875628139253
2015-11-10,79.279999,79.43,78.779999,79.050003,1288900,78.064536,-0.290105957241
2015-11-11,79.5,79.779999,79.07,79.449997,668100,78.459544,-0.0628968553459
2015-11-12,78.870003,79.309998,78.68,78.709999,767600,77.728771,-0.202870538752
2015-11-13,78.470001,78.800003,77.75,78.230003,693800,77.254759,-0.305846816543
2015-11-16,78.199997,80.709999,77.940002,80.610001,1154500,79.605086,3.08184666554
2015-11-17,81.5,81.989998,80.040001,81.190002,1461800,80.67828,-0.380365644172
2015-11-18,81.489998,82.129997,81.150002,82.080002,684300,81.56267,0.724020142938
2015-11-19,82.160004,83.260002,82.0,83.209999,605900,82.685545,1.27798800984
2015-11-20,83.669998,83.949997,82.599998,82.779999,782400,82.258255,-1.06370147158
2015-11-23,82.93,83.669998,82.43,82.730003,523900,82.208575,-0.241163631979
2015-11-24,82.339996,83.050003,82.019997,82.449997,803500,81.930333,0.133593642633
2015-11-25,82.459999,83.459999,82.199997,82.919998,605900,82.397372,0.55784502253
2015-11-27,82.82,83.279999,82.68,83.099998,247300,82.576238,0.338080173871
2015-11-30,83.379997,83.769997,82.879997,83.129997,1072700,82.606048,-0.299832104815
2015-12-01,83.410004,84.120003,83.169998,83.989998,851600,83.460628,0.695353041825
2015-12-02,83.760002,84.580002,83.610001,83.739998,744200,83.212204,-0.0238825209197
2015-12-03,83.879997,83.919998,82.449997,82.919998,1060800,82.397372,-1.14449098037
2015-12-04,82.699997,84.910004,82.589996,84.269997,815700,83.738862,1.89842812207
2015-12-07,83.970001,84.459999,83.419998,83.839996,501200,83.311572,-0.154823149282
2015-12-08,83.699997,84.550003,83.150002,84.269997,1493900,83.738862,0.681003608638
2015-12-09,83.879997,84.389999,82.879997,83.339996,1067700,82.814723,-0.643778039239
2015-12-10,82.900002,84.0,82.540001,83.190002,1307900,82.665675,0.349819050668
2015-12-11,82.160004,82.769997,81.639999,82.389999,724700,81.870714,0.279935478095
2015-12-14,82.57,83.019997,81.650002,81.910004,1208300,81.393743,-0.7993169432
2015-12-15,82.449997,83.709999,82.449997,82.900002,953700,82.377502,0.545791408579
2015-12-16,83.360001,84.050003,82.379997,83.559998,838800,83.033338,0.239919622842
2015-12-17,84.25,84.599998,82.870003,83.120003,823200,82.596116,-1.34124272997
