Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-10-01,52.950001,53.169998,52.0,53.0,5990000,53.0,0.0944268159693
2015-10-02,52.34,52.380001,50.950001,51.759998,6745500,51.759998,-1.10814291173
2015-10-05,52.029999,53.630001,51.650002,53.330002,5846200,53.330002,2.49856433785
2015-10-06,53.240002,53.549999,50.52,50.779999,7744900,50.779999,-4.62059148683
2015-10-07,51.040001,51.650002,49.759998,51.580002,7054000,51.580002,1.05799566893
2015-10-08,51.25,52.43,50.5,52.259998,5012500,52.259998,1.97072780488
2015-10-09,53.919998,56.099998,53.419998,55.709999,11375400,55.709999,3.31973491542
2015-10-12,56.099998,58.040001,55.900002,57.799999,6114300,57.799999,3.03030492087
2015-10-13,57.119999,57.759998,56.43,57.299999,6223100,57.299999,0.315126055937
2015-10-14,57.869999,58.75,56.400002,57.509998,5912800,57.509998,-0.622085720098
2015-10-15,57.790001,58.080002,56.720001,57.759998,4188500,57.759998,-0.0519172858294
2015-10-16,57.889999,57.98,55.049999,55.970001,14537200,55.970001,-3.31663159987
2015-10-19,55.900002,57.009998,55.84,56.75,6588400,56.75,1.52056881858
2015-10-20,56.849998,57.07,55.450001,55.75,7306900,55.75,-1.93491299683
2015-10-21,55.650002,55.849998,54.200001,54.549999,7421800,54.549999,-1.97664503229
2015-10-22,55.09,56.439999,54.139999,56.049999,7564800,56.049999,1.74260119804
2015-10-23,57.189999,59.799999,57.18,59.68,12308600,59.68,4.35390985057
2015-10-26,59.419998,61.200001,59.150002,61.02,6017300,61.02,2.69269951843
2015-10-27,60.720001,61.799999,60.470001,60.939999,5981600,60.939999,0.362315540805
2015-10-28,60.849998,60.970001,58.700001,59.549999,5823400,59.549999,-2.13639941286
2015-10-29,59.130001,60.720001,58.599998,60.25,4301900,60.25,1.89412985127
2015-10-30,60.07,61.869999,59.970001,60.310001,5520400,60.310001,0.399535541868
2015-11-02,60.610001,61.290001,60.439999,60.599998,4012000,60.599998,-0.0165038769757
2015-11-03,61.0,61.34,60.009998,60.84,4883300,60.84,-0.262295081967
2015-11-04,60.540001,60.93,59.689999,60.290001,6036500,60.290001,-0.412950108805
2015-11-05,60.509998,60.98,60.189999,60.299999,4623300,60.299999,-0.347048433219
2015-11-06,60.18,61.75,60.02,61.490002,6540700,61.490002,2.17680624792
2015-11-09,61.16,61.419998,59.669998,60.150002,3469700,60.150002,-1.6514028777
2015-11-10,60.18,60.849998,59.029999,60.060001,2659000,60.060001,-0.199400132935
2015-11-11,60.259998,60.439999,59.580002,59.639999,2264500,59.639999,-1.02887325021
2015-11-12,59.0,60.110001,59.0,59.25,2707300,59.25,0.423728813559
2015-11-13,59.099998,59.57,58.439999,58.799999,3085200,58.799999,-0.507612538329
2015-11-16,57.369999,58.209999,57.060001,58.080002,6174400,58.080002,1.23758586783
2015-11-17,58.299999,59.290001,57.02,57.380001,4413500,57.380001,-1.57804119345
2015-11-18,57.490002,58.259998,56.509998,57.709999,4658800,57.709999,0.382670016258
2015-11-19,58.09,59.299999,57.799999,58.5,3475600,58.5,0.705801342744
2015-11-20,58.490002,59.290001,58.360001,58.810001,3563900,58.810001,0.547100340328
2015-11-23,58.849998,59.23,58.34,58.560001,2607100,58.560001,-0.492773168828
2015-11-24,57.09,57.240002,56.07,56.799999,7259500,56.799999,-0.507971623752
2015-11-25,57.080002,57.209999,55.93,56.220001,4622800,56.220001,-1.50665902219
2015-11-27,56.400002,57.459999,56.259998,56.82,1638500,56.82,0.744677278558
2015-11-30,56.82,57.200001,55.580002,55.73,5123700,55.73,-1.91833861316
2015-12-01,55.68,57.110001,55.529999,56.990002,3967000,56.990002,2.35273347701
2015-12-02,58.0,59.34,57.619999,57.91,5393400,57.91,-0.155172413793
2015-12-03,57.91,58.23,56.560001,56.740002,4111100,56.740002,-2.02037299257
2015-12-04,57.560001,59.09,57.52,58.939999,5126100,58.939999,2.3974947464
2015-12-07,59.959999,61.490002,59.75,60.52,6911700,60.52,0.933957654002
2015-12-08,59.669998,60.509998,58.049999,58.650002,4668200,58.650002,-1.70939506316
2015-12-09,58.700001,59.880001,57.150002,57.860001,5138900,57.860001,-1.43100508635
2015-12-10,58.099998,60.18,57.610001,59.529999,5095600,59.529999,2.46127547199
2015-12-11,58.18,58.759998,56.91,57.029999,5041600,57.029999,-1.97662598831
2015-12-14,57.369999,57.740002,55.330002,57.299999,5692900,57.299999,-0.12201499254
2015-12-15,57.830002,58.48,57.509998,57.900002,3649400,57.900002,0.121044436416
2015-12-16,58.259998,59.150002,57.060001,58.869999,4189000,58.869999,1.04703230508
2015-12-17,58.860001,59.650002,57.299999,57.32,3997600,57.32,-2.61637950023
2015-12-18,57.32,58.220001,56.720001,56.919998,5017900,56.919998,-0.697840195394
2015-12-21,57.419998,58.32,57.27,58.049999,3303500,58.049999,1.09718046316
2015-12-22,58.279999,58.360001,56.650002,58.0,3921200,58.0,-0.48043755114
2015-12-23,58.02,58.57,57.110001,58.349998,3381800,58.349998,0.568765942778
2015-12-24,58.349998,60.439999,58.349998,59.779999,3015000,59.779999,2.45073016112
2015-12-28,59.790001,60.200001,58.669998,59.009998,2521400,59.009998,-1.30457097668
2015-12-29,59.169998,59.740002,58.740002,59.299999,2317900,59.299999,0.219707629532
2015-12-30,59.279999,59.299999,57.450001,57.509998,3182400,57.509998,-2.98583169679
2015-12-31,57.23,57.5,56.720001,57.299999,3516000,57.299999,0.12231172462
2016-01-04,55.790001,56.34,54.860001,55.610001,5693200,55.610001,-0.322638459892
2016-01-05,55.900002,56.330002,54.0,55.060001,6982900,55.060001,-1.50268509829
2016-01-06,54.240002,55.470001,54.040001,55.200001,4902100,55.200001,1.7699095955
2016-01-07,54.400002,54.810001,52.34,52.630001,6095600,52.630001,-3.2536781892
2016-01-08,53.619999,53.860001,51.759998,51.889999,6365600,51.889999,-3.22640811687
2016-01-11,52.200001,52.549999,50.349998,51.619999,8451200,51.619999,-1.11111492124
2016-01-12,51.66,51.700001,49.709999,50.860001,10054900,50.860001,-1.54858497871
2016-01-13,51.16,51.279999,47.759998,48.060001,8043600,48.060001,-6.05941946833
2016-01-14,48.34,48.59,45.889999,47.830002,9801600,47.830002,-1.05502275548
2016-01-15,46.419998,46.889999,44.93,45.669998,10924000,45.669998,-1.61568296492
2016-01-19,46.509998,46.970001,44.639999,45.18,8597400,45.18,-2.85959590882
2016-01-20,44.77,46.200001,42.169998,45.119999,11771600,45.119999,0.781771275408
2016-01-21,45.110001,46.66,44.25,45.330002,10292600,45.330002,0.487698947291
2016-01-22,45.93,47.73,45.93,46.720001,8290100,46.720001,1.72001088613
2016-01-25,46.91,47.259998,46.34,46.439999,5578400,46.439999,-1.00192069921
2016-01-26,46.830002,47.27,46.310001,47.23,5602800,47.23,0.854149013276
2016-01-27,47.700001,49.41,47.369999,47.709999,8127200,47.709999,0.0209601672755
2016-01-28,47.970001,48.139999,45.77,46.110001,7770500,46.110001,-3.87742330879
2016-01-29,45.310001,48.540001,45.27,48.279999,9056700,48.279999,6.55483984651
2016-02-01,47.709999,49.200001,47.52,48.860001,6719300,48.860001,2.41040038588
2016-02-02,48.27,48.48,46.049999,46.450001,7114500,46.450001,-3.77045576963
2016-02-03,46.630001,48.299999,45.049999,47.57,6490000,47.57,2.01586742406
2016-02-04,47.18,48.619999,47.07,48.41,5711500,48.41,2.60703688003
2016-02-05,48.41,49.16,46.48,46.860001,5164900,46.860001,-3.20181574055
2016-02-08,45.900002,46.419998,45.16,45.68,7691700,45.68,-0.479307168658
2016-02-09,44.970001,47.029999,44.0,46.48,9300200,46.48,3.35779178657
2016-02-10,47.41,48.799999,47.07,47.709999,7833000,47.709999,0.632775785699
2016-02-11,46.540001,47.849998,46.48,46.98,4926400,46.98,0.945421122789
2016-02-12,47.290001,48.43,46.580002,48.349998,4097600,48.349998,2.24148229559
2016-02-16,48.720001,49.25,47.799999,48.869999,4593500,48.869999,0.307877661989
2016-02-17,49.419998,50.93,49.290001,50.610001,4214400,50.610001,2.4079381792
2016-02-18,51.07,52.200001,50.720001,51.939999,5575100,51.939999,1.70354219698
2016-02-19,51.790001,55.060001,51.130001,53.82,9733300,53.82,3.91967360649
2016-02-22,54.130001,55.84,53.959999,55.490002,6665900,55.490002,2.51247178067
2016-02-23,55.09,55.889999,54.619999,55.450001,4317100,55.450001,0.653477945181
2016-02-24,54.82,56.299999,54.669998,56.259998,5594700,56.259998,2.62677489967
2016-02-25,56.439999,56.91,55.73,56.860001,4654600,56.860001,0.744156639691
2016-02-26,56.889999,57.169998,56.119999,56.580002,4498800,56.580002,-0.544905968446
2016-02-29,56.380001,57.799999,56.009998,57.259998,5605200,57.259998,1.56083182758
2016-03-01,57.630001,58.84,57.259998,58.400002,5216500,58.400002,1.33611137713
2016-03-02,57.900002,58.48,57.27,57.919998,4849100,57.919998,0.0345354046793
2016-03-03,57.93,58.799999,57.799999,58.34,5190000,58.34,0.707750733644
2016-03-04,58.650002,58.950001,57.66,58.0,5766900,58.0,-1.10827276698
2016-03-07,57.549999,58.09,56.84,57.610001,4920400,57.610001,0.104260644731
2016-03-08,56.360001,57.450001,55.290001,56.34,7848100,56.34,-0.0354879340758
2016-03-09,56.740002,57.59,56.470001,57.439999,4755100,57.439999,1.23369223709
2016-03-10,57.599998,57.869999,56.650002,57.259998,3509500,57.259998,-0.590277798274
2016-03-11,57.959999,58.41,57.720001,58.369999,3119700,58.369999,0.707384415241
2016-03-14,58.0,59.09,57.84,58.98,3942500,58.98,1.68965517241
2016-03-15,58.57,59.299999,57.939999,58.049999,4730800,58.049999,-0.887828239713
2016-03-16,57.66,59.029999,57.419998,58.77,3670900,58.77,1.9250780437
2016-03-17,58.709999,59.16,58.209999,58.84,3279000,58.84,0.221429061854
2016-03-18,58.900002,60.669998,58.860001,60.41,7375300,60.41,2.56366374996
2016-03-21,60.380001,61.41,60.349998,61.189999,3629200,61.189999,1.34150047464
2016-03-22,59.509998,60.959999,59.41,60.490002,4467900,60.490002,1.64678883034
2016-03-23,60.43,60.610001,59.290001,59.740002,4020400,59.740002,-1.14181366871
2016-03-24,58.759998,58.959999,57.200001,57.84,6622400,57.84,-1.56568759584
2016-03-28,57.950001,58.18,57.41,57.91,3395100,57.91,-0.0690267460047
2016-03-29,57.779999,58.75,57.59,58.66,4041000,58.66,1.52302010251
2016-03-30,58.990002,60.389999,58.889999,59.82,3402800,59.82,1.40701470056
2016-03-31,59.919998,61.389999,59.82,59.860001,5745000,59.860001,-0.100128508015
2016-04-01,57.43,57.669998,56.189999,56.720001,7407200,56.720001,-1.23628591329
2016-04-04,56.59,57.599998,55.700001,55.849998,4622100,55.849998,-1.30765506273
2016-04-05,55.490002,55.849998,55.099998,55.580002,2727400,55.580002,0.162191379989
2016-04-06,55.599998,55.650002,54.59,55.139999,3224200,55.139999,-0.827336360696
2016-04-07,54.549999,54.66,52.93,53.16,6755000,53.16,-2.54811920345
2016-04-08,53.650002,53.810001,52.950001,53.080002,3548400,53.080002,-1.06244171249
2016-04-11,53.380001,55.200001,53.279999,53.709999,4584900,53.709999,0.618205308763
2016-04-12,53.889999,54.779999,53.830002,54.07,3392700,54.07,0.334015593506
2016-04-13,54.48,55.68,54.34,55.580002,3789200,55.580002,2.01909324523
2016-04-14,55.860001,57.84,55.799999,56.73,3795100,56.73,1.55746327323
2016-04-15,56.970001,57.110001,56.080002,56.900002,2847900,56.900002,-0.122869929386
2016-04-18,57.779999,57.779999,56.349998,56.98,2406900,56.98,-1.38456042549
2016-04-19,57.119999,58.330002,57.119999,58.049999,3551700,58.049999,1.62815128901
2016-04-20,57.959999,58.900002,57.959999,58.599998,4122300,58.599998,1.10420809359
2016-04-21,55.32,56.0,51.330002,52.759998,25281200,52.759998,-4.62762472885
2016-04-22,51.200001,51.59,50.200001,50.740002,11340800,50.740002,-0.898435529327
2016-04-25,51.060001,51.450001,49.299999,49.369999,6859000,49.369999,-3.30983542284
2016-04-26,49.75,50.060001,48.049999,49.139999,7541500,49.139999,-1.22613266332
2016-04-27,49.049999,49.700001,48.700001,48.939999,5201300,48.939999,-0.224260962778
2016-04-28,48.84,49.209999,47.900002,48.060001,5645200,48.060001,-1.59704954955
2016-04-29,47.889999,47.93,45.580002,45.810001,10233200,45.810001,-4.34328261314
2016-05-02,46.610001,46.810001,45.810001,46.66,6624600,46.66,0.107270969593
2016-05-03,47.0,47.540001,46.150002,47.130001,6714500,47.130001,0.27659787234
2016-05-04,46.709999,46.759998,45.150002,45.549999,6732700,45.549999,-2.48340831692
2016-05-05,45.599998,46.07,44.959999,44.990002,6034600,44.990002,-1.33771058499
2016-05-06,44.799999,45.73,44.009998,45.700001,9245700,45.700001,2.00893308056
2016-05-09,45.880001,46.810001,45.68,45.709999,4603500,45.709999,-0.370536173266
2016-05-10,46.07,47.119999,45.790001,47.0,4796800,47.0,2.0186672455
